course_number,course_name,unit,section,day,start_time,end_time,location,classroom,instructor,course_rate
57300,Advanced Bagpipe and Drum Band,3,A,M,07:00PM,08:50PM,"Pittsburgh, Pennsylvania",DNM,"Carlisle, Andrew",4.393888889
57304,Bagpipe Maintenance,3,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carlisle, Andrew",4.443333333
57306,World Music,9,A,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",CFA A2,"Woloshyn, Alexa",4.35125
57307,Bagpipe Theory,3,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carlisle, Andrew",
57329,Beginning Piano for Minors,3,A,F,01:30PM,02:20PM,"Pittsburgh, Pennsylvania",MM  119A,"Larocca, Carla",4.754
57331,Principles of Education,9,A,MW,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",MM  116,"Dell, Robert",4.54125
57332,Introduction to Conducting,6,A,TR,10:30AM,11:20AM,"Pittsburgh, Pennsylvania",MM  116,"Story, Stephen",4.286363636
57334,Fundamentals of Marching Band,3,A,M,02:00PM,02:50PM,"Pittsburgh, Pennsylvania",MM  116,"Gerlach, Paul",4.2
57337,Sound Recording,6,Lec 11,M,06:30PM,07:50PM,"Pittsburgh, Pennsylvania",CFA A6,"Schulz, Riccardo",4.608767123
57338,Sound Editing and Mastering,6,A2,TR,03:30PM,04:20PM,"Pittsburgh, Pennsylvania",CFA A6,"Schulz, Riccardo",4.5405
57339,Acting III,6,A,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",CFA ACH,"Trumbull, Kelly",4.107647059
57347,Electronic and Computer Music,6,A,TR,08:30AM,09:20AM,"Pittsburgh, Pennsylvania",MM  119A,"Opie, Benjamin",3.847037037
57349,Supervised Theory Teaching,6,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Randall, Richard Domencic, Mark Ito, John Whipple, R. James",5
57356,Elementary Guided Teaching,3,A,F,08:30AM,10:20AM,"Pittsburgh, Pennsylvania",CFA 110,TBA,3.875
57360,Brass Methods,3,A,MW,12:30PM,01:20PM,"Pittsburgh, Pennsylvania",MM  127,"Gerlach, Paul",4.214285714
57361,Percussion Methods,3,A,F,12:30PM,01:20PM,"Pittsburgh, Pennsylvania",CFA A1,"Evans, Paul",4.445
57364,Conducting Practicum,3,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Curtis, Daniel",4.583333333
57367,Supervised Recording Teaching,6,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Schulz, Riccardo",
57368,Supervised History Teaching,6,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,
57369,Supervised Solfege Teaching,6,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,
57371,Supervised Diction Teaching,3,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,
57375,Music in the Elementary School,6,A,MW,09:00AM,09:50AM,"Pittsburgh, Pennsylvania",CFA M157,TBA,3.875
57381,Collaborative Piano I,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carver, Lowell",5
57382,Collaborative Piano II,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carver, Lowell",5
57383,Collaborative Piano III,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carver, Lowell",
57384,Collaborative Piano IV,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carver, Lowell",
57385,Collaborative Piano V,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carver, Lowell",
57386,Collaborative Piano VI,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carver, Lowell",
57387,Professional Essentials for the Percussionist,3,A,W,06:30PM,09:20PM,"Pittsburgh, Pennsylvania",CFA A1,"Branson, Jeremy",4.165
57390,Outreach Performance,0,A2,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,
57391,Keyboard Studies (Music Ed),3,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Larocca, Carla",4.583333333
57392,Keyboard Studies (Music Ed),3,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Larocca, Carla",5
57393,Keyboard Studies Test (Music Ed),0,A2,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Larocca, Carla",
57394,Guitar Test (Music Ed),0,A2,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Ferla, James",
57402,Alexander Technique for Musicians,3,A,W,12:30PM,01:20PM,"Pittsburgh, Pennsylvania",MM  119,"Levinson, Lisa",4.6875
57403,Yoga for Musicians,3,A,T,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",MM  119,"Jackovic, Anne",5
57405,Concerto: Virtuosity and Contrast,9,A,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",CFA 102,"Sciannameo, Franco",3.5
57409,Puccini\'s Operas,9,A,TR,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",CFA 102,"Sciannameo, Franco",4
57417,Major Vocal Performance Ensemble,6,A,TWRF,03:30PM,06:20PM,"Pittsburgh, Pennsylvania",MM  119,"Douglas, Thomas",4.181081081
57418,Major Instrumental Ensemble,6,A,TWRF,03:30PM,06:00PM,"Pittsburgh, Pennsylvania",CFA ACH,"Cardenes, Andres Thompson, Thomas Vosburgh, George Curtis, Daniel Story, Stephen",4.0646875
57419,Chorus,6,A,TR,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",MM  119,"Douglas, Thomas",4.151
57420,Jazz Vocal Ensemble,3,A,M,04:30PM,06:20PM,"Pittsburgh, Pennsylvania",MM  127,"Lawrence, Elizabeth",4.854
57421,Exploded Ensemble,6,A,MW,12:30PM,03:20PM,"Pittsburgh, Pennsylvania",HL  A10A,"Laduke, Lance Stiles, Jesse Hsieh, Hui-Hsin",4.64
57422,Singers,3,A,TR,05:00PM,05:50PM,"Pittsburgh, Pennsylvania",MM  119,"Douglas, Thomas",4.756666667
57423,Repertoire Orchestra,3,A,R,07:00PM,08:50PM,"Pittsburgh, Pennsylvania",CFA ACH,"Curtis, Daniel",4.60125
57424,Percussion Ensemble,3,A,M,06:30PM,09:20PM,"Pittsburgh, Pennsylvania",CFA A1,"Gu, Won Branson, Jeremy",4
57429,Beginning Piano for Children I,6,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Larocca, Carla",
57433,Musical Theatre Literature and Repertoire,3,A,M,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",CFA M157,"Douglas, Thomas Irwin, Roseanna",3.171
57437,Literature and Repertoire,3,A,M,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",CFA KRESGE,"Vosburgh, George",4.662435897
57442,Analytical Techniques,9,A,TR,09:30AM,10:20AM,"Pittsburgh, Pennsylvania",MM  127,"Thomas, Marilyn",4.839
57449,Beginning Piano for Children II,6,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Manriquez, Luz",
57451,Teaching Artist Training,6,A,W,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",MM  127,"Mead, Monique",5
57457,Stagecraft: mental training for peak performance,6,A,T,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",CFA KRESGE,"Mead, Monique",4.26
57458,Business of Music,6,A,TR,10:30AM,11:20AM,"Pittsburgh, Pennsylvania",CFA M160,"Laduke, Lance",4.07
57460,Collaborative Project in Music Entrepreneurship,6,A,F,11:30AM,01:20PM,"Pittsburgh, Pennsylvania",GHC 7501,"Mead, Monique",
57467,Production: Crew,3,A,MTWRF,06:30PM,10:20PM,"Pittsburgh, Pennsylvania",GYM SGYM,"Schott, Christine",3.33
57471,Production: Performance,6,A,MTWRF,06:30PM,09:50PM,"Pittsburgh, Pennsylvania",GYM SGYM,"Douglas, Thomas",4.15
57480,History of Black American Music,6,A,MW,01:30PM,02:20PM,"Pittsburgh, Pennsylvania",CFA M157,"Keeling, Kenneth",4.26875
57487,Advanced Solfege III,3,A,MWF,11:30AM,12:20PM,"Pittsburgh, Pennsylvania",CFA M160,"Jackovic, Anne",4.317
57489,Practice Teaching (Elementary),VAR,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Dell, Robert",
57490,Practice Teaching (Secondary),6-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Dell, Robert Gerlach, Paul",
57496,BXA Studio,9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,5
57497,BXA Studio,9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,4
57498,BXA Studio,9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Cherian, Rebecca",4.5
57499,BXA Studio,9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,4.5
57500,Major Studio (Voice),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Ahlstedt, Douglas",4.652352941
57501,Major Studio (Piano),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Schepkin, Sergey",4.434782609
57502,Major Studio (Organ),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,
57503,Major Studio (Harp),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Van Hoesen, Gretchen Johnston, Sharon",5
57505,Major Studio (Violin),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Forough, Cyrus",4.866153846
57506,Major Studio (Viola),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Harding, David",4.153846154
57507,Major Studio (Cello),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Williams, Anne",4.871538462
57508,Major Studio (Double Bass),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Howard, Micah",
57509,Major Studio (Guitar),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Ferla, James",4.5
57510,Major Studio (Flute),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Almarza, Alberto",4.983870968
57511,Major Studio (Oboe),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Dealmeida, Cynthia",4.892857143
57512,Major Studio (Clarinet),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Thompson, Thomas",4.972222222
57513,Major Studio (Bassoon),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Goeres, Nancy Johnston, Sharon",3.666666667
57514,Major Studio (Saxophone),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Defade, Eric",4.555555556
57515,Major Studio (Horn),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Caballero, William",4.2
57516,Major Studio (Trumpet),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Berntsen, Neal",4.642857143
57517,Major Studio (Trombone),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Dee, Jeffrey",5
57518,Major Studio (Euphonium/Baritone),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Laduke, Lance",
57519,Major Studio (Tuba),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Knox, Craig",5
57520,Major Studio (Percussion),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Evans, Paul Branson, Jeremy Allen, Christopher",4.454545455
57521,Major Studio (Composition),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Balada, Leonardo",4.866666667
57522,Major Studio (Bagpipe),9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carlisle, Andrew",5
57523,Vocal Coaching,0,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Carver, Lowell",4.55012987
57558,Observation,3,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Dell, Robert",
57570,Sound and Music Computing Seminar,1,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Dannenberg, Roger",4.2925
57571,Music and Technology Project,12,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Dannenberg, Roger Johnston, Sharon Schulz, Riccardo Stern, Richard Sullivan, Thomas Stiles, Jesse",
57572,Music and Technology Project,12,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Schulz, Riccardo Johnston, Sharon Sullivan, Thomas Stern, Richard Dannenberg, Roger",
